"setting.idx","method","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5","EN","EN.Overdose","duration"
5,"ours0.s1",9.96,11.56,6.13,1.5,0.22,29.36,1.72,41.6
5,"ours0.s2",0.17,0.21,0.31,0.09,0.01,0.78,0.1,42.97
5,"bf.s1",9.33,11.67,6.32,1.48,0.21,29.02,1.69,41.93
5,"bf.s2",0,0,0,0,0,0,0,41.93
5,"ours1.s1",8.59,10.7,6.07,1.51,0.28,27.14,1.79,31.4
5,"ours1.s2",1.22,0.9,0.41,0.1,0.01,2.63,0.1,35.32
5,"ours2.s1",8.7,10.71,6.01,1.42,0.25,27.09,1.67,31.43
5,"ours2.s2",1.4,0.91,0.44,0.12,0.02,2.89,0.14,35.61
5,"titeet",7.3,9.1,3.8,0.9,0.1,21.2,1,24.18
5,"bfet",7.28,11.15,6.98,2.03,0.4,27.83,2.43,34.2
53,"ours0.s1",9.96,11.56,6.13,1.5,0.22,29.36,1.72,41.6
53,"ours0.s2",0.17,0.21,0.31,0.09,0.01,0.78,0.1,42.97
53,"bf.s1",9.33,11.67,6.32,1.48,0.21,29.02,1.69,41.93
53,"bf.s2",0,0,0,0,0,0,0,41.93
53,"ours1.s1",8.59,10.7,6.07,1.51,0.28,27.14,1.79,31.4
53,"ours1.s2",1.22,0.9,0.41,0.1,0.01,2.63,0.1,35.32
53,"ours2.s1",8.7,10.71,6.01,1.42,0.25,27.09,1.67,31.43
53,"ours2.s2",1.4,0.91,0.44,0.12,0.02,2.89,0.14,35.61
53,"titeet",7.3,9.1,3.8,0.9,0.1,21.2,1,24.18
53,"bfet",7.28,11.15,6.98,2.03,0.4,27.83,2.43,34.2
45,"ours0.s1",10.26,11.94,6.22,1.49,0.22,30.15,1.72,44.69
45,"ours0.s2",0.07,0.12,0.26,0.08,0.02,0.55,0.1,45.63
45,"bf.s1",9.56,12.01,6.39,1.44,0.2,29.6,1.65,44.84
45,"bf.s2",0,0,0,0,0,0,0,44.84
45,"ours1.s1",9.62,11.43,6.22,1.48,0.24,28.99,1.72,37.89
45,"ours1.s2",0.36,0.44,0.37,0.1,0.01,1.29,0.12,40.04
45,"ours2.s1",9.61,11.49,6.16,1.4,0.24,28.9,1.64,37.89
45,"ours2.s2",0.41,0.42,0.41,0.14,0.02,1.4,0.16,40.15
45,"titeet",6.9,9.1,4,1.1,0.2,21.3,1.3,24.96
45,"bfet",7.6,12.08,7.2,2.15,0.44,29.47,2.59,46.3
13,"ours0.s1",10.12,11.72,6.06,1.44,0.23,29.57,1.67,42.88
13,"ours0.s2",0.1,0.18,0.31,0.13,0.02,0.73,0.14,44.09
13,"bf.s1",9.42,11.79,6.36,1.5,0.22,29.3,1.73,43.11
13,"bf.s2",0,0,0,0,0,0,0,43.11
13,"ours1.s1",9.18,11.02,6.04,1.54,0.28,28.05,1.81,34.36
13,"ours1.s2",0.74,0.66,0.4,0.1,0.01,1.9,0.11,37.39
13,"ours2.s1",9.15,11.11,6.18,1.55,0.26,28.25,1.81,34.47
13,"ours2.s2",0.77,0.68,0.45,0.13,0.01,2.03,0.14,37.58
13,"titeet",7.1,9.1,3.9,1,0.2,21.3,1.2,24.41
13,"bfet",7.55,11.79,7.06,2.13,0.47,29,2.6,40.5
21,"ours0.s1",10.26,11.94,6.22,1.49,0.22,30.15,1.72,44.69
21,"ours0.s2",0.07,0.12,0.26,0.08,0.02,0.55,0.1,45.63
21,"bf.s1",9.56,12.01,6.39,1.44,0.2,29.6,1.65,44.84
21,"bf.s2",0,0,0,0,0,0,0,44.84
21,"ours1.s1",9.62,11.43,6.22,1.48,0.24,28.99,1.72,37.89
21,"ours1.s2",0.36,0.44,0.37,0.1,0.01,1.29,0.12,40.04
21,"ours2.s1",9.61,11.49,6.16,1.4,0.24,28.9,1.64,37.89
21,"ours2.s2",0.41,0.42,0.41,0.14,0.02,1.4,0.16,40.15
21,"titeet",6.9,9.1,4,1.1,0.2,21.3,1.3,24.96
21,"bfet",7.6,12.08,7.2,2.15,0.44,29.47,2.59,46.3
61,"ours0.s1",10.12,11.72,6.06,1.44,0.23,29.57,1.67,42.88
61,"ours0.s2",0.1,0.18,0.31,0.13,0.02,0.73,0.14,44.09
61,"bf.s1",9.42,11.79,6.36,1.5,0.22,29.3,1.73,43.11
61,"bf.s2",0,0,0,0,0,0,0,43.11
61,"ours1.s1",9.18,11.02,6.04,1.54,0.28,28.05,1.81,34.36
61,"ours1.s2",0.74,0.66,0.4,0.1,0.01,1.9,0.11,37.39
61,"ours2.s1",9.15,11.11,6.18,1.55,0.26,28.25,1.81,34.47
61,"ours2.s2",0.77,0.68,0.45,0.13,0.01,2.03,0.14,37.58
61,"titeet",7.1,9.1,3.9,1,0.2,21.3,1.2,24.41
61,"bfet",7.55,11.79,7.06,2.13,0.47,29,2.6,40.5
29,"ours0.s1",9.96,11.56,6.13,1.5,0.22,29.36,1.72,41.6
29,"ours0.s2",0.17,0.21,0.31,0.09,0.01,0.78,0.1,42.97
29,"bf.s1",9.33,11.67,6.32,1.48,0.21,29.02,1.69,41.93
29,"bf.s2",0,0,0,0,0,0,0,41.93
29,"ours1.s1",8.59,10.7,6.07,1.51,0.28,27.14,1.79,31.4
29,"ours1.s2",1.22,0.9,0.41,0.1,0.01,2.63,0.1,35.32
29,"ours2.s1",8.7,10.71,6.01,1.42,0.25,27.09,1.67,31.43
29,"ours2.s2",1.4,0.91,0.44,0.12,0.02,2.89,0.14,35.61
29,"titeet",7.3,9.1,3.8,0.9,0.1,21.2,1,24.18
29,"bfet",7.28,11.15,6.98,2.03,0.4,27.83,2.43,34.2
37,"ours0.s1",10.12,11.72,6.06,1.44,0.23,29.57,1.67,42.88
37,"ours0.s2",0.1,0.18,0.31,0.13,0.02,0.73,0.14,44.09
37,"bf.s1",9.42,11.79,6.36,1.5,0.22,29.3,1.73,43.11
37,"bf.s2",0,0,0,0,0,0,0,43.11
37,"ours1.s1",9.18,11.02,6.04,1.54,0.28,28.05,1.81,34.36
37,"ours1.s2",0.74,0.66,0.4,0.1,0.01,1.9,0.11,37.39
37,"ours2.s1",9.15,11.11,6.18,1.55,0.26,28.25,1.81,34.47
37,"ours2.s2",0.77,0.68,0.45,0.13,0.01,2.03,0.14,37.58
37,"titeet",7.1,9.1,3.9,1,0.2,21.3,1.2,24.41
37,"bfet",7.55,11.79,7.06,2.13,0.47,29,2.6,40.5
69,"ours0.s1",10.26,11.94,6.22,1.49,0.22,30.15,1.72,44.69
69,"ours0.s2",0.07,0.12,0.26,0.08,0.02,0.55,0.1,45.63
69,"bf.s1",9.56,12.01,6.39,1.44,0.2,29.6,1.65,44.84
69,"bf.s2",0,0,0,0,0,0,0,44.84
69,"ours1.s1",9.62,11.43,6.22,1.48,0.24,28.99,1.72,37.89
69,"ours1.s2",0.36,0.44,0.37,0.1,0.01,1.29,0.12,40.04
